index,DateTime,Lat.,Long.,Fatalities,Magnitude,Month,Hour,Fatalities_bool
191,2004-02-24 02:27:00,35.141999999999996,-3.997,631,6.4,2,2,True
192,2004-03-01 23:55:00,38.058,38.277,6,3.8,3,23,True
193,2004-03-25 19:30:00,39.93,40.812,10,5.6,3,19,True
194,2004-04-05 21:24:00,36.527,71.028,3,6.6,4,21,True
195,2004-05-01 07:56:00,24.081,121.611,2,5.2,5,7,True
196,2004-05-08 20:11:00,30.125999999999998,67.12100000000001,1,4.4,5,20,True
197,2004-05-28 12:38:00,36.27,51.575,35,6.3,5,12,True
198,2004-07-01 22:30:00,39.799,43.778,18,5.2,7,22,True
199,2004-07-12 13:04:00,46.29600000000001,13.640999999999998,1,5.2,7,13,True
200,2004-07-15 04:27:00,-17.656,-178.76,0,7.1,7,4,False
201,2004-07-18 04:22:00,-38.0,176.51,1,5.6,7,4,True
202,2004-07-18 08:31:00,33.426,69.524,2,5.2,7,8,True
203,2004-07-25 14:35:00,-2.455,103.977,0,7.3,7,14,False
204,2004-07-30 07:14:00,39.634,43.966,1,4.8,7,7,True
205,2004-08-10 10:26:00,27.266,103.87299999999999,4,5.4,8,10,True
206,2004-08-11 15:48:00,38.376999999999995,39.260999999999996,1,5.7,8,15,True
207,2004-09-05 10:07:00,33.062,136.608,0,7.2,9,10,False
208,2004-09-05 14:57:00,33.216,137.061,0,7.4,9,14,False
209,2004-09-07 11:53:00,-28.573,-65.84,1,6.4,9,11,True
210,2004-09-15 08:35:00,-8.773,115.35700000000001,1,5.4,9,8,True
211,2004-10-23 08:56:00,37.231,138.753,46,6.6,10,8,True
212,2004-11-11 21:26:00,-8.172,124.85600000000001,34,7.5,11,21,True
213,2004-11-15 09:06:00,4.678999999999999,-77.51100000000001,0,7.2,11,9,False
214,2004-11-20 08:07:00,9.581,-84.228,8,6.4,11,8,True
215,2004-11-21 11:41:00,15.699000000000002,-61.653999999999996,1,6.3,11,11,True
216,2004-11-22 20:26:00,-46.693999999999996,164.77700000000002,0,7.1,11,20,False
217,2004-11-26 02:25:00,-3.573,135.346,32,7.1,11,2,True
218,2004-11-28 18:32:00,42.995,145.056,0,7.0,11,18,False
219,2004-12-01 23:17:00,-3.665,135.528,1,5.5,12,23,True
220,2004-12-23 14:59:00,-50.145,160.365,0,8.1,12,14,False
221,2004-12-26 00:58:00,3.3160000000000003,95.854,227898,9.1,12,0,True
222,2004-12-26 04:21:00,6.91,92.958,0,7.1,12,4,False
223,2005-01-23 20:10:00,-1.198,119.93299999999999,1,6.3,1,20,True
224,2005-01-25 16:44:00,37.622,43.703,2,5.9,1,16,True
225,2005-02-02 05:55:00,-7.037000000000001,107.819,1,4.8,2,5,True
226,2005-02-05 12:23:00,5.358,123.209,2,7.1,2,12,True
227,2005-02-22 02:25:00,30.741,56.876999999999995,612,6.4,2,2,True
228,2005-03-02 10:42:00,-6.527,129.933,0,7.1,3,10,False
229,2005-03-09 10:15:00,-26.913,26.789,2,5.0,3,10,True
230,2005-03-20 01:53:00,33.805,130.078,1,6.6,3,1,True
231,2005-03-28 16:09:00,2.074,97.01299999999999,1313,8.6,3,16,True
232,2005-05-03 07:21:00,33.711,48.685,4,4.9,5,7,True
233,2005-06-04 14:50:00,-6.319,146.846,1,6.1,6,14,True
234,2005-06-13 22:44:00,-19.934,-69.028,11,7.8,6,22,True
235,2005-06-15 02:50:00,41.284,-125.98299999999999,0,7.2,6,2,False
236,2005-07-05 16:53:00,-26.47,27.43,1,2.7,7,16,True
237,2005-07-24 15:42:00,7.909,92.139,0,7.3,7,15,False
238,2005-07-25 15:43:00,46.827,125.05799999999999,1,5.0,7,15,True
239,2005-08-16 02:46:00,38.251,142.059,0,7.2,8,2,False
240,2005-09-09 07:26:00,-4.539,153.445,0,7.7,9,7,False
241,2005-09-26 01:55:00,-5.6739999999999995,-76.40899999999999,5,7.5,9,1,True
242,2005-10-08 03:50:00,34.493,73.62899999999999,87351,7.6,10,3,True
243,2005-10-15 04:24:00,34.014,74.003,2,5.2,10,4,True
244,2005-10-20 21:40:00,38.152,26.750999999999998,1,5.9,10,21,True
245,2005-10-27 11:18:00,23.604,107.79799999999999,1,4.2,10,11,True
246,2005-11-08 07:54:00,9.972999999999999,108.287,1,5.3,11,7,True
247,2005-11-14 21:38:00,38.101,144.925,0,7.0,11,21,False
248,2005-11-26 00:49:00,29.671,115.68799999999999,16,5.2,11,0,True
249,2005-11-27 10:22:00,26.784000000000002,55.847,13,6.0,11,10,True
250,2005-12-05 12:19:00,-6.1739999999999995,29.717,6,6.8,12,12,True
251,2005-12-12 21:47:00,36.332,71.13,5,6.6,12,21,True
252,2005-12-14 07:09:00,30.476,79.255,1,5.1,12,7,True
253,2006-01-02 06:10:00,-60.806999999999995,-21.474,0,7.4,1,6,False
254,2006-01-02 22:13:00,-19.926,-178.178,0,7.2,1,22,False
255,2006-01-27 16:58:00,-5.482,128.093,0,7.6,1,16,False
256,2006-02-14 00:55:00,27.355,88.355,2,5.3,2,0,True
257,2006-02-22 22:19:00,-21.259,33.48,4,7.0,2,22,True
258,2006-03-10 07:50:00,33.129,73.887,1,4.9,3,7,True
259,2006-03-14 06:57:00,-3.593,127.211,3,6.7,3,6,True
260,2006-03-20 19:44:00,36.623000000000005,5.327999999999999,4,5.2,3,19,True
261,2006-03-25 07:28:00,27.574,55.685,1,5.9,3,7,True
262,2006-03-31 01:17:00,33.580999999999996,48.794,70,6.1,3,1,True
263,2006-04-20 23:25:00,61.075,167.085,0,7.6,4,23,False
264,2006-04-25 11:26:00,-41.163999999999994,146.863,1,2.2,4,11,True
265,2006-05-03 15:26:00,-20.13,-174.16400000000002,0,8.0,5,15,False
266,2006-05-16 10:39:00,-31.526999999999997,-179.303,0,7.4,5,10,False
267,2006-05-26 22:53:00,-7.962000000000001,110.458,5782,6.3,5,22,True
268,2006-06-03 07:15:00,26.759,55.843,2,5.1,6,7,True
269,2006-07-17 08:19:00,-9.222000000000001,107.32,730,7.7,7,8,True
270,2006-07-22 01:10:00,27.995,104.13799999999999,22,4.9,7,1,True
271,2006-07-29 00:11:00,37.255,68.828,3,5.6,7,0,True
272,2006-08-20 03:41:00,-61.006,-34.391,0,7.0,8,3,False
273,2006-08-25 05:51:00,28.011999999999997,104.15100000000001,1,5.0,8,5,True
274,2006-09-29 18:23:00,10.763,-61.806999999999995,1,5.5,9,18,True
275,2006-11-15 11:14:00,46.607,153.23,0,8.3,11,11,False
276,2006-12-01 14:01:00,-8.261000000000001,118.75299999999999,1,6.3,12,14,True
277,2006-12-17 21:39:00,0.626,99.859,7,5.8,12,21,True
278,2006-12-26 12:26:00,21.825,120.538,2,7.1,12,12,True
279,2007-01-13 04:23:00,46.272,154.455,0,8.1,1,4,False
280,2007-01-21 11:27:00,1.222,126.395,4,7.5,1,11,True
281,2007-03-06 03:49:00,-0.512,100.524,67,6.4,3,3,True
282,2007-03-25 00:40:00,-20.666,169.426,0,7.1,3,0,False
283,2007-03-25 00:41:00,37.281,136.602,1,6.7,3,0,True
284,2007-04-01 20:39:00,-8.481,156.97799999999998,54,8.1,4,20,True
285,2007-04-21 17:53:00,-45.273999999999994,-72.604,3,6.2,4,17,True
286,2007-06-02 21:34:00,23.013,101.053,3,6.2,6,21,True
287,2007-07-16 01:13:00,37.576,138.469,9,6.6,7,1,True
288,2007-07-21 22:44:00,38.936,70.485,12,5.2,7,22,True
289,2007-08-01 17:08:00,-15.735999999999999,167.745,0,7.2,8,17,False
290,2007-08-02 02:37:00,47.11600000000001,141.798,2,6.2,8,2,True
291,2007-08-08 17:04:00,-5.968,107.655,0,7.5,8,17,False
292,2007-08-15 23:40:00,-13.354000000000001,-76.509,519,8.0,8,23,True
293,2007-09-02 01:05:00,-11.61,165.762,0,7.2,9,1,False
294,2007-09-12 11:10:00,-4.52,101.374,25,8.5,9,11,True
295,2007-09-12 23:49:00,-2.506,100.906,0,7.9,9,23,False
296,2007-09-13 03:35:00,-2.13,99.62700000000001,0,7.0,9,3,False
297,2007-09-28 13:38:00,21.98,142.685,0,7.5,9,13,False
298,2007-09-30 05:23:00,-49.418,163.954,0,7.4,9,5,False
299,2007-10-26 06:50:00,35.321,76.646,1,5.3,10,6,True
300,2007-10-31 03:30:00,18.854,145.315,0,7.2,10,3,False
301,2007-11-06 09:38:00,21.127,70.538,1,5.0,11,9,True
302,2007-11-07 04:12:00,9.714,124.669,1,5.0,11,4,True
303,2007-11-14 15:40:00,-22.204,-69.869,2,7.7,11,15,True
304,2007-11-25 16:02:00,-8.294,118.36,3,6.5,11,16,True
305,2007-11-29 19:00:00,14.943,-61.244,1,7.4,11,19,True
306,2007-12-09 02:03:00,-15.049000000000001,-44.199,1,4.9,12,2,True
307,2007-12-09 07:28:00,-25.872,-177.517,0,7.8,12,7,False
308,2007-12-19 09:30:00,51.495,-179.47299999999998,0,7.2,12,9,False
309,2007-12-20 07:55:00,-38.842,177.93,1,6.6,12,7,True
310,2008-01-09 22:24:00,35.616,-0.57,1,4.6,1,22,True
311,2008-01-22 17:14:00,1.011,97.436,1,6.1,1,17,True
312,2008-02-03 07:34:00,-2.318,28.945,44,5.9,2,7,True
313,2008-02-06 06:09:00,23.468000000000004,87.116,1,4.3,2,6,True
314,2008-02-14 02:07:00,-2.294,28.875999999999998,1,5.4,2,2,True
315,2008-02-20 08:08:00,2.778,95.978,3,7.4,2,8,True
316,2008-02-25 08:36:00,-2.352,100.01799999999999,0,7.2,2,8,False
317,2008-03-20 22:33:00,35.445,81.392,0,7.2,3,22,False
318,2008-04-09 12:46:00,-20.089000000000002,168.852,0,7.3,4,12,False
319,2008-04-12 00:30:00,-55.681000000000004,158.52700000000002,0,7.1,4,0,False
320,2008-05-12 06:28:00,30.986,103.36399999999999,69197,7.9,5,6,True
321,2008-05-24 19:20:00,4.447,-73.67,11,5.6,5,19,True
322,2008-05-25 08:21:00,32.586999999999996,105.42399999999999,8,6.0,5,8,True
323,2008-06-06 20:02:00,35.883,-0.6579999999999999,1,5.5,6,20,True
324,2008-06-08 12:25:00,38.0,21.468000000000004,2,6.4,6,12,True
325,2008-06-13 23:43:00,39.122,140.678,13,6.9,6,23,True
326,2008-06-17 05:51:00,32.760999999999996,105.554,2,4.8,6,5,True
327,2008-06-30 06:17:00,-58.169,-22.014,0,7.0,6,6,False
328,2008-07-05 02:12:00,53.888000000000005,152.869,0,7.7,7,2,False
329,2008-07-08 09:13:00,-15.886,-71.727,1,6.2,7,9,True
330,2008-07-15 03:26:00,35.8,27.86,1,6.4,7,3,True
331,2008-07-19 02:39:00,37.552,142.20600000000002,0,7.0,7,2,False
332,2008-07-23 15:26:00,39.802,141.463,1,6.8,7,15,True
333,2008-07-24 07:09:00,32.747,105.542,1,5.7,7,7,True
334,2008-08-05 09:49:00,32.756,105.494,4,6.0,8,9,True
335,2008-08-21 12:24:00,25.039,97.697,5,6.0,8,12,True
336,2008-08-30 08:30:00,26.241,101.889,43,6.0,8,8,True
337,2008-08-31 08:31:00,26.232,101.97,2,5.6,8,8,True
338,2008-09-09 03:07:00,-3.872,103.069,2,5.4,9,3,True
339,2008-09-10 11:00:00,26.823,55.825,7,6.1,9,11,True
340,2008-09-16 21:47:00,17.438,73.915,1,5.0,9,21,True
341,2008-09-29 15:19:00,-29.749000000000002,-177.678,0,7.0,9,15,False
342,2008-10-05 15:52:00,39.515,73.768,75,6.7,10,15,True
343,2008-10-06 08:30:00,29.761,90.32,10,6.4,10,8,True
344,2008-10-11 09:06:00,43.372,46.254,13,5.8,10,9,True
345,2008-10-28 23:09:00,30.656,67.361,215,6.4,10,23,True
346,2008-11-16 17:02:00,1.29,122.1,6,7.4,11,17,True
347,2008-11-22 22:27:00,49.913999999999994,18.455,2,4.1,11,22,True
348,2008-11-24 09:02:00,54.193999999999996,154.315,0,7.3,11,9,False
349,2008-12-09 18:53:00,32.518,105.395,2,5.1,12,18,True
350,2009-01-03 19:43:00,-0.408,132.886,5,7.7,1,19,True
351,2009-01-03 22:33:00,-0.7070000000000001,133.361,5,7.4,1,22,True
352,2009-01-04 05:10:00,34.196999999999996,70.065,1,4.3,1,5,True
353,2009-01-08 19:21:00,10.197000000000001,-84.15899999999999,34,6.1,1,19,True
354,2009-01-15 17:49:00,46.861999999999995,155.156,0,7.4,1,17,False
355,2009-02-11 17:34:00,3.9019999999999997,126.4,0,7.2,2,17,False
356,2009-02-18 21:53:00,-27.464000000000002,-176.324,0,7.0,2,21,False
357,2009-03-19 18:17:00,-23.05,-174.668,0,7.6,3,18,False
358,2009-04-06 01:32:00,42.333999999999996,13.334000000000001,308,6.3,4,1,True
359,2009-04-07 17:47:00,42.275,13.464,1,5.5,4,17,True
360,2009-04-16 21:27:00,34.185,70.07600000000001,22,5.4,4,21,True
361,2009-05-28 08:24:00,16.733,-86.22,7,7.3,5,8,True
362,2009-06-13 17:17:00,44.725,78.866,1,5.4,6,17,True
363,2009-07-09 11:19:00,25.636,101.08200000000001,1,5.7,7,11,True
364,2009-07-15 09:22:00,-45.75,166.577,0,7.8,7,9,False
365,2009-08-08 13:26:00,29.358,105.43799999999999,2,3.7,8,13,True
366,2009-08-09 10:55:00,33.122,138.026,0,7.1,8,10,False
367,2009-08-10 19:55:00,14.013,92.92299999999999,0,7.5,8,19,False
368,2009-08-10 20:07:00,34.778,138.276,1,6.1,8,20,True
369,2009-09-02 07:55:00,-7.809,107.259,79,7.0,9,7,True
370,2009-09-21 08:53:00,27.346,91.412,11,6.1,9,8,True
371,2009-09-29 17:48:00,-15.509,-172.03400000000002,189,8.1,9,17,True
372,2009-09-30 10:16:00,-0.725,99.85600000000001,1115,7.6,9,10,True
373,2009-10-01 01:52:00,-2.508,101.484,3,6.6,10,1,True
